CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1.00,-,-,-,-,-,28500.00,179.40,222.15,28500.00,470.00,-,-,0.70,950.00,-,-,-,-,-,2.00,
,-,-,-,-,-,-,28500.00,172.20,210.95,28500.00,480.00,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,28500.00,160.80,199.35,28500.00,490.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,28500.00,151.75,188.20,28500.00,500.00,950.00,0.05,0.20,1900.00,-,-,-,-,-,6.00,
,-,-,-,-,-,-,28500.00,145.55,177.00,28500.00,510.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,28500.00,135.90,168.40,28500.00,520.00,-,-,1.50,950.00,-,-,-,-,-,-,
,-,-,-,-,-,-,28500.00,125.75,157.05,28500.00,530.00,-,-,2.00,950.00,-,-,-,-,-,-,
,-,-,-,-,-,-,28500.00,113.75,144.45,28500.00,540.00,-,-,2.00,950.00,-,-,-,-,-,1.00,
,18.00,-,-,-,-,-,5700.00,110.70,124.05,3800.00,550.00,4750.00,0.15,0.25,4750.00,-0.20,0.15,65.58,11.00,3.00,137.00,
,-,-,-,-,-,-,28500.00,94.80,123.95,28500.00,560.00,2850.00,0.10,0.70,1900.00,-,-,-,-,-,-,
,-,-,-,-,-,-,28500.00,85.25,107.65,2850.00,570.00,9500.00,0.15,0.30,950.00,0.05,0.30,60.53,34.00,-12.00,57.00,
,-,-,-,-,-,-,28500.00,75.75,97.65,2850.00,580.00,1900.00,0.25,0.35,950.00,-0.10,0.35,56.24,51.00,-7.00,173.00,
,-,-,-,-,-,-,28500.00,66.25,87.70,2850.00,590.00,6650.00,0.35,0.45,6650.00,-0.20,0.40,51.67,57.00,-19.00,117.00,
,19.00,-,1.00,-,71.00,7.00,3800.00,69.15,70.50,1900.00,600.00,7600.00,0.45,0.50,1900.00,-0.45,0.45,46.86,559.00,-55.00,641.00,
,11.00,-,-,-,-,-,1900.00,59.10,60.65,950.00,610.00,15200.00,0.55,0.65,7600.00,-0.55,0.60,43.27,156.00,-49.00,207.00,
,42.00,-3.00,3.00,46.29,53.00,10.80,3800.00,49.60,50.80,950.00,620.00,8550.00,0.75,0.85,15200.00,-0.70,0.85,39.99,629.00,-79.00,509.00,
,71.00,-7.00,26.00,-,41.30,7.40,950.00,40.35,41.15,950.00,630.00,12350.00,1.15,1.20,2850.00,-1.25,1.15,36.06,988.00,-44.00,638.00,
