CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,00,000",49.00,62.90,"1,00,000",127.50,-,-,1.80,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",46.70,60.20,"1,00,000",130.00,-,-,1.80,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",44.55,58.60,"1,00,000",132.50,-,-,2.40,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",42.15,55.80,"1,00,000",135.00,-,-,2.40,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",40.05,53.05,"1,00,000",137.50,-,-,2.40,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",37.60,50.25,"1,00,000",140.00,-,-,2.40,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",32.50,47.45,"1,00,000",142.50,-,-,2.40,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"7,500",32.65,42.05,"7,500",145.00,-,-,2.40,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"7,500",30.15,39.40,"7,500",147.50,"2,500",0.05,2.40,"2,500",-,-,-,-,-,-,
,1,1,2,80.15,34.00,-11.50,"2,500",29.05,35.35,"7,500",150.00,"55,000",0.05,2.40,"7,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"7,500",25.10,35.05,"7,500",152.50,"2,500",0.20,3.10,"2,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"10,000",22.60,30.45,"10,000",155.00,"10,000",0.30,1.05,"5,000",-0.20,0.40,52.67,1,-,24,
,-,-,-,-,-,-,"10,000",21.95,30.15,"10,000",157.50,"15,000",0.25,3.20,"1,02,500",-,-,-,-,-,-,
,1,-,-,-,-,-,"10,000",19.50,28.05,"1,10,000",160.00,"25,000",0.70,0.75,"17,500",-0.25,0.70,50.70,87,7,133,
,-,-,-,-,-,-,"7,500",15.10,23.95,"7,500",162.50,"15,000",0.45,1.95,"15,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"7,500",12.65,20.75,"7,500",165.00,"7,500",1.20,1.30,"20,000",-0.35,1.20,48.91,25,4,31,
,-,-,-,-,-,-,"2,500",13.80,14.65,"2,500",167.50,"22,500",1.60,1.70,"30,000",0.30,1.60,48.58,117,26,27,
,3,1,7,-,12.80,-1.80,"2,500",11.90,12.55,"2,500",170.00,"10,000",2.10,2.20,"5,000",-0.35,2.15,47.29,123,-6,308,
,-,-,-,-,-,-,"2,500",10.00,10.85,"2,500",172.50,"2,500",2.85,2.95,"22,500",-0.05,2.80,48.75,27,13,14,
,7,5,8,27.56,8.80,-2.20,"2,500",8.70,8.85,"5,000",175.00,"20,000",3.65,3.75,"5,000",-0.65,3.60,48.51,69,-1,112,
,2,-,1,-,7.55,0.10,"5,000",6.70,7.60,"2,500",177.50,"5,000",4.70,4.80,"5,000",-0.70,4.55,49.90,92,22,34,
,98,48,226,32.52,6.00,-0.60,"5,000",5.95,6.05,"7,500",180.00,"2,500",5.95,6.05,"5,000",-0.45,5.90,49.79,470,33,340,
,25,9,64,34.64,4.90,-0.55,"12,500",4.80,4.90,"5,000",182.50,"2,500",7.30,7.45,"12,500",-0.35,7.40,50.82,46,3,53,
,263,73,467,35.63,4.05,-0.45,"2,500",3.90,4.00,"12,500",185.00,"2,500",8.85,8.95,"2,500",-0.45,8.85,51.93,154,-10,98,
,72,16,134,36.76,3.25,-0.45,"17,500",3.10,3.20,"10,000",187.50,"2,500",10.25,11.05,"10,000",-2.65,8.70,42.38,5,-3,15,
,444,163,630,37.07,2.50,-0.50,"15,000",2.50,2.60,"22,500",190.00,"5,000",12.25,12.60,"5,000",-1.15,11.75,52.88,10,-,180,
,76,6,67,38.72,2.10,-0.40,"7,500",2.00,2.10,"25,000",192.50,"5,000",14.15,14.65,"5,000",-1.55,12.45,44.88,3,-,22,
,225,58,405,40.42,1.65,-0.35,"7,500",1.65,1.70,"27,500",195.00,"2,500",16.35,16.70,"2,500",-0.50,15.50,54.72,3,-1,75,
,40,9,23,41.37,1.40,-0.25,"32,500",1.30,1.40,"10,000",197.50,"7,500",18.10,19.25,"5,000",-,-,-,-,-,10,
,567,41,220,42.65,1.10,-0.25,"25,000",1.10,1.15,"25,000",200.00,"2,500",20.65,21.25,"5,000",0.05,21.05,57.70,6,-4,198,
,57,-1,6,43.92,0.95,-0.20,"12,500",0.90,0.95,"7,500",202.50,"7,500",22.85,23.60,"5,000",0.10,21.45,54.77,1,-,18,
,174,15,101,45.34,0.80,-0.15,"32,500",0.75,0.80,"27,500",205.00,"2,500",25.30,26.00,"5,000",0.75,24.40,63.63,1,-,64,
,47,-1,3,48.75,0.80,-0.25,"12,500",0.65,0.75,"17,500",207.50,"7,500",27.45,28.55,"5,000",-,-,-,-,-,27,
,743,-10,178,48.54,0.55,-0.15,"20,000",0.55,0.60,"47,500",210.00,"5,000",30.10,30.85,"5,000",-2.95,28.20,57.42,5,-,194,
,67,-2,9,51.63,0.60,0.05,"27,500",0.45,0.60,"20,000",212.50,"10,000",31.35,33.40,"5,000",-,-,-,-,-,25,
,259,-2,23,52.51,0.45,-0.05,"35,000",0.40,0.50,"47,500",215.00,"2,500",34.80,35.75,"5,000",-2.80,33.20,64.43,2,-,56,
,55,-2,11,52.91,0.40,-0.10,"27,500",0.35,0.45,"22,500",217.50,"12,500",34.75,38.35,"7,500",-,-,-,-,-,24,
,644,14,94,55.63,0.35,-0.10,"15,000",0.35,0.40,"52,500",220.00,"7,500",38.70,40.50,"2,500",-,-,-,-,-,125,
,53,-,1,55.27,0.30,-0.05,"10,000",0.30,0.65,"2,500",222.50,"1,00,000",37.25,45.60,"2,500",-,-,-,-,-,9,
,225,-1,7,57.79,0.25,-0.05,"40,000",0.25,0.30,"20,000",225.00,"1,00,000",38.60,45.80,"2,500",-,-,-,-,-,31,
,12,-,-,-,-,-,"2,500",0.10,0.35,"7,500",227.50,"1,00,000",40.35,51.15,"1,00,000",-,-,-,-,-,1,
,290,-3,13,58.63,0.20,-0.05,"1,35,000",0.20,0.25,"42,500",230.00,"1,00,000",44.40,50.50,"2,500",-,-,-,-,-,45,
,-,-,-,-,-,-,"2,500",0.05,1.75,"1,00,000",232.50,"1,00,000",44.60,58.15,"1,00,000",-,-,-,-,-,-,
,94,-1,4,65.40,0.25,-,"17,500",0.15,0.20,"2,500",235.00,"1,00,000",46.50,59.20,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",0.05,1.50,"5,000",237.50,"1,00,000",48.70,63.75,"1,00,000",-,-,-,-,-,-,
,249,-2,5,67.49,0.20,0.05,"15,000",0.15,0.20,"10,000",240.00,"1,00,000",53.55,61.25,"7,500",-,-,-,-,-,5,
,-,-,-,-,-,-,"2,500",0.05,1.55,"1,00,000",242.50,"1,00,000",53.60,69.35,"1,00,000",-,-,-,-,-,-,
,41,-,3,59.84,0.10,-0.15,"2,500",0.10,0.20,"5,000",245.00,"1,00,000",55.85,70.25,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.35,"1,00,000",247.50,"1,00,000",57.45,74.40,"1,00,000",-,-,-,-,-,-,
,293,-,-,-,-,-,"52,500",0.10,0.15,"2,500",250.00,"1,00,000",59.55,75.50,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.95,"7,500",252.50,"1,00,000",62.45,79.90,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.40,"2,500",255.00,"1,00,000",63.80,82.70,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.35,"1,00,000",257.50,"1,00,000",66.00,85.50,"1,00,000",-,-,-,-,-,-,
,114,-,5,70.29,0.05,-0.05,-,-,0.05,"47,500",260.00,"1,00,000",68.15,86.60,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.40,"2,500",262.50,"1,00,000",70.55,-,-,-,-,-,-,-,-,
,1,-,-,-,-,-,"2,500",0.05,0.45,"7,500",265.00,"1,00,000",73.20,93.85,"1,00,000",-,-,-,-,-,-,
