CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"36,000",147.25,183.75,"36,000",490.00,"7,200",0.10,0.25,"1,200",-,-,-,-,-,4,
,-,-,-,-,-,-,"36,000",138.00,172.95,"36,000",500.00,"1,200",0.30,0.45,"1,200",-,-,-,-,-,36,
,-,-,-,-,-,-,"36,000",128.90,162.35,"36,000",510.00,"2,400",0.05,2.10,"2,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"36,000",120.05,153.45,"36,000",520.00,"6,000",0.10,2.10,"2,400",-,-,-,-,-,1,
,-,-,-,-,-,-,"3,600",112.80,132.90,"3,600",530.00,"2,400",0.10,1.00,"1,200",-,-,-,-,-,4,
,-,-,-,-,-,-,"3,600",102.75,122.70,"3,600",540.00,"1,200",0.15,1.20,"2,400",-,-,-,-,-,-,
,23,-,-,-,-,-,"4,800",98.90,109.75,"3,600",550.00,"8,400",0.60,0.70,"8,400",-0.20,0.60,46.86,41,-8,175,
,-,-,-,-,-,-,"3,600",82.75,103.55,"3,600",560.00,"1,200",0.60,1.95,"4,800",-,-,-,-,-,11,
,-,-,-,-,-,-,"4,800",72.75,92.65,"4,800",570.00,"2,400",0.95,1.05,"3,600",-0.10,1.05,41.21,4,-1,90,
,2,-,-,-,-,-,"4,800",70.90,78.15,"4,800",580.00,"6,000",1.30,1.35,"3,600",-0.30,1.30,40.35,168,-9,268,
,-,-,-,-,-,-,"4,800",57.15,73.35,"6,000",590.00,"7,200",1.75,1.85,"3,600",-0.40,1.80,38.69,197,46,465,
,87,-1,2,29.43,55.80,1.85,"1,200",54.20,55.15,"6,000",600.00,"4,800",2.65,2.75,"6,000",-0.50,2.65,37.91,236,-5,899,
,13,-,-,-,-,-,"2,400",45.00,46.55,"4,800",610.00,"1,200",3.70,3.75,"1,200",-0.65,3.65,36.07,238,39,261,
,30,-,1,42.76,43.05,4.45,"1,200",36.90,37.60,"2,400",620.00,"1,200",5.20,5.30,"4,800",-0.65,5.25,34.53,201,-15,480,
,74,-10,24,29.55,30.45,-0.25,"1,200",29.15,29.70,"3,600",630.00,"1,200",7.25,7.35,"1,200",-0.75,7.30,33.48,176,18,431,
,202,7,68,27.73,22.20,-0.70,"1,200",22.15,22.40,"3,600",640.00,"3,600",10.15,10.30,"3,600",-1.00,10.10,32.34,374,-19,572,
,640,61,676,27.50,16.20,-0.70,"1,200",16.15,16.30,"1,200",650.00,"2,400",14.10,14.25,"2,400",-1.00,14.10,32.05,662,81,"1,083",
,"1,153",83,"1,139",27.16,11.30,-0.60,"2,400",11.20,11.30,"3,600",660.00,"2,400",19.10,19.30,"2,400",-0.80,19.25,31.74,307,4,542,
,"1,452",3,792,26.98,7.40,-0.70,"2,400",7.40,7.50,"4,800",670.00,"1,200",25.25,25.50,"1,200",-0.80,25.10,32.15,127,38,598,
,"1,846",36,516,26.99,4.80,-0.60,"4,800",4.75,4.85,"4,800",680.00,"2,400",32.45,32.95,"2,400",-1.65,32.00,32.11,17,6,385,
,"1,493",40,349,27.49,3.10,-0.50,"16,800",3.05,3.15,"2,400",690.00,"2,400",40.45,41.25,"2,400",-0.75,40.00,32.97,2,-,287,
,"4,072",-61,511,28.67,2.15,-0.40,"1,200",2.10,2.15,"6,000",700.00,"2,400",49.45,50.00,"1,200",0.15,50.00,38.20,8,1,671,
,"1,081",-35,212,29.97,1.50,-0.35,"21,600",1.45,1.55,"14,400",710.00,"4,800",58.50,59.65,"2,400",-,-,-,-,-,136,
,"1,089",38,153,31.53,1.10,-0.25,"33,600",1.10,1.15,"8,400",720.00,"1,200",67.85,69.65,"1,200",-,-,-,-,-,97,
,677,11,66,33.66,0.95,-0.15,"6,000",0.90,0.95,"10,800",730.00,"1,200",77.65,79.40,"1,200",-,-,-,-,-,108,
