CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,3750.00,1485.80,1779.30,3750.00,3900.00,3500.00,0.10,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,3750.00,1418.95,1757.95,3750.00,4000.00,8875.00,0.10,1.55,125.00,-,1.00,101.72,1,-,28
,-,-,-,-,-,-,3750.00,1329.45,1670.65,3750.00,4100.00,7375.00,0.10,-,-,-,-,-,-,-,26
,-,-,-,-,-,-,3750.00,1226.10,1551.70,3750.00,4200.00,250.00,0.60,1.30,375.00,0.25,1.30,90.88,1,-1,110
,-,-,-,-,-,-,3750.00,1153.35,1430.80,3750.00,4300.00,1875.00,0.15,0.95,125.00,-1.00,1.00,81.60,2,-2,14
,-,-,-,-,-,-,3750.00,944.45,1352.50,375.00,4400.00,250.00,0.80,1.30,125.00,-1.10,0.90,74.24,34,-24,83
,-,-,-,-,-,-,375.00,1012.55,1165.40,375.00,4500.00,125.00,1.20,1.35,125.00,-1.45,1.35,71.31,271,-16,347
,-,-,-,-,-,-,3750.00,751.00,1176.95,375.00,4600.00,375.00,1.55,1.75,125.00,-1.95,1.60,66.27,231,-12,105
,-,-,-,-,-,-,3750.00,656.00,1096.85,375.00,4700.00,250.00,2.05,2.20,125.00,-2.70,2.15,62.24,568,-86,195
,-,-,-,-,-,-,375.00,720.30,856.05,375.00,4800.00,125.00,2.95,3.00,1625.00,-3.85,3.00,58.44,618,-78,367
,9.00,-2.00,2.00,-,633.90,75.95,750.00,688.50,709.75,250.00,4900.00,125.00,4.45,4.60,250.00,-6.25,4.50,55.18,"1,170",-22,363
,93.00,-4.00,15.00,-,571.90,109.60,125.00,603.95,611.20,250.00,5000.00,250.00,6.95,7.15,875.00,-9.50,7.05,52.28,"2,246",-210,"1,344"
,70.00,-2.00,4.00,53.71,504.95,147.40,125.00,504.35,513.15,125.00,5100.00,125.00,10.75,10.95,875.00,-14.65,10.75,49.03,"1,977",11,524
,121.00,-2.00,35.00,45.23,405.40,124.85,250.00,413.45,420.80,250.00,5200.00,125.00,16.25,16.50,125.00,-23.05,16.25,45.53,"3,192",47,"1,308"
,388.00,-38.00,318.00,47.25,324.00,122.90,125.00,323.90,326.00,125.00,5300.00,125.00,25.95,26.25,750.00,-35.35,26.10,42.73,"6,475",133,"1,164"
,761.00,-303.00,4745.00,44.62,242.35,106.60,125.00,240.85,242.55,375.00,5400.00,375.00,41.90,42.50,125.00,-53.65,42.60,40.30,"9,503",270,"1,407"
,1087.00,-792.00,13115.00,41.16,167.05,83.15,250.00,166.00,167.15,125.00,5500.00,250.00,66.20,66.80,250.00,-77.85,66.10,37.10,"8,708",203,"1,370"
