CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,,
,-,-,-,-,-,-,13000.00,286.45,342.65,13000.00,940.00,-,-,2.65,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,13000.00,246.65,321.30,13000.00,960.00,325.00,0.20,-,-,-,-,-,-,-,7.00,,
,-,-,-,-,-,-,13000.00,234.35,298.55,13000.00,980.00,325.00,0.20,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,975.00,106.55,261.05,975.00,1000.00,1950.00,2.30,2.65,1950.00,-0.20,2.30,65.00,10.00,-1.00,59.00,,
,-,-,-,-,-,-,1300.00,206.10,246.65,975.00,1020.00,325.00,0.25,-,-,-,-,-,-,-,11.00,,
,-,-,-,-,-,-,975.00,181.05,226.60,975.00,1040.00,325.00,0.75,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,1300.00,177.20,206.55,1300.00,1060.00,650.00,3.45,8.30,325.00,-0.95,4.00,57.01,1.00,-,2.00,,
,-,-,-,-,-,-,1300.00,139.00,185.85,975.00,1080.00,325.00,1.55,7.35,325.00,-,-,-,-,-,1.00,,
,1.00,-,-,-,-,-,1300.00,135.85,162.35,1300.00,1100.00,325.00,7.65,8.25,650.00,-0.45,7.80,55.70,5.00,-2.00,237.00,,
,-,-,-,-,-,-,1300.00,115.60,151.85,1300.00,1120.00,650.00,7.65,13.75,325.00,-2.75,10.00,58.03,2.00,-,50.00,,
,5.00,-,-,-,-,-,650.00,108.90,118.30,650.00,1140.00,1625.00,12.00,16.25,325.00,-,-,-,-,-,43.00,,
,-,-,-,-,-,-,1300.00,63.00,119.50,1300.00,1160.00,650.00,13.35,22.85,325.00,-,-,-,-,-,3.00,,
,-,-,-,-,-,-,325.00,79.50,97.75,1625.00,1180.00,325.00,22.00,24.40,325.00,-,-,-,-,-,27.00,,
,61.00,-1.00,7.00,46.70,73.25,-3.25,325.00,66.60,68.75,325.00,1200.00,650.00,28.25,28.85,325.00,-,28.20,48.89,111.00,-7.00,345.00,,
,6.00,-,-,-,-,-,325.00,53.70,71.45,650.00,1220.00,650.00,35.45,36.50,325.00,0.15,35.50,47.94,46.00,-10.00,44.00,,
,90.00,-41.00,98.00,43.36,44.60,-4.95,1300.00,43.35,44.45,650.00,1240.00,325.00,44.15,45.75,325.00,0.75,43.95,46.62,21.00,-3.00,62.00,,
,135.00,20.00,96.00,41.37,34.50,-5.40,650.00,34.00,34.50,2275.00,1260.00,325.00,54.55,56.20,650.00,1.35,55.00,46.55,33.00,8.00,72.00,,
,84.00,-9.00,44.00,42.22,27.95,-3.15,650.00,26.35,27.00,325.00,1280.00,325.00,65.75,69.70,325.00,-,-,-,-,-,37.00,,
,344.00,45.00,393.00,43.01,20.45,-4.35,650.00,20.10,20.50,650.00,1300.00,650.00,79.55,82.05,650.00,-0.80,77.80,48.78,29.00,-20.00,171.00,,
,126.00,-,13.00,42.30,16.25,-2.85,325.00,15.25,15.65,325.00,1320.00,650.00,94.55,97.90,325.00,-,-,-,-,-,80.00,,
,192.00,9.00,29.00,43.77,12.85,-2.40,650.00,11.55,12.10,650.00,1340.00,650.00,110.05,118.05,650.00,-3.80,101.45,41.18,2.00,-,67.00,,
,297.00,13.00,107.00,44.61,9.35,-2.55,325.00,9.15,9.40,650.00,1360.00,325.00,126.85,134.10,650.00,-,-,-,-,-,57.00,,
,178.00,-2.00,9.00,44.62,7.25,-2.10,2600.00,7.00,7.50,650.00,1380.00,975.00,139.90,154.00,325.00,-12.60,126.25,-,1.00,-,19.00,,
,891.00,23.00,235.00,46.82,6.00,-1.65,975.00,5.85,6.00,325.00,1400.00,975.00,163.70,168.90,325.00,1.00,156.00,45.98,32.00,-,139.00,,
,52.00,1.00,5.00,46.86,4.50,-1.05,2275.00,4.45,4.85,1950.00,1420.00,975.00,176.10,198.95,975.00,-,-,-,-,-,8.00,,
,88.00,1.00,7.00,49.92,4.25,-0.75,650.00,2.85,4.30,325.00,1440.00,975.00,198.90,209.65,1625.00,-,-,-,-,-,37.00,,
,54.00,-,1.00,55.60,5.00,0.10,1950.00,1.60,5.00,650.00,1460.00,14625.00,186.75,244.80,1300.00,-,-,-,-,-,4.00,,
,25.00,-,2.00,53.47,3.15,-,325.00,2.30,3.40,325.00,1480.00,1625.00,224.40,251.00,1300.00,-,-,-,-,-,3.00,,
,794.00,2.00,74.00,53.58,2.20,-0.65,650.00,2.10,2.20,975.00,1500.00,325.00,255.95,297.90,13000.00,-,-,-,-,-,85.00,,
,28.00,-,6.00,-,1.80,-0.60,1300.00,1.75,1.95,325.00,1520.00,13000.00,245.75,312.30,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,1300.00,0.40,-,-,1540.00,13000.00,263.30,336.15,13000.00,-,-,-,-,-,-,,
,62.00,-1.00,2.00,70.80,3.80,2.20,1625.00,0.60,3.75,13000.00,1560.00,325.00,297.70,344.25,13000.00,-1.00,308.00,-,1.00,-,5.00,,
,29.00,-,-,-,-,-,1300.00,0.40,-,-,1580.00,13000.00,297.50,361.50,13000.00,-,-,-,-,-,-,,
