CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,16500.00,302.40,373.95,16500.00,980.00,3300.00,0.10,0.95,550.00,-,-,-,-,-,-
,-,-,-,-,-,-,16500.00,283.55,351.05,16500.00,1000.00,1100.00,0.25,0.35,550.00,-,0.30,57.31,1.00,-,102.00
,-,-,-,-,-,-,16500.00,267.35,330.35,16500.00,1020.00,4400.00,0.15,3.00,1100.00,-,-,-,-,-,-
,-,-,-,-,-,-,16500.00,247.60,308.60,16500.00,1040.00,4400.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,1650.00,235.85,269.75,1650.00,1060.00,4400.00,0.15,-,-,-,-,-,-,-,-
,1.00,-,-,-,-,-,1650.00,210.45,249.90,1650.00,1080.00,550.00,0.20,-,-,-,-,-,-,-,3.00
,1.00,-,-,-,-,-,2750.00,207.35,210.90,550.00,1100.00,1100.00,0.60,0.70,1650.00,-0.30,0.55,42.51,36.00,-7.00,435.00
,-,-,-,-,-,-,1650.00,175.80,210.40,1650.00,1120.00,1100.00,0.40,1.40,1100.00,-,-,-,-,-,1.00
,-,-,-,-,-,-,1650.00,155.90,190.30,1650.00,1140.00,550.00,0.90,1.20,550.00,-,-,-,-,-,78.00
,1.00,-,-,-,-,-,1650.00,135.90,170.60,1650.00,1160.00,2750.00,1.25,1.45,550.00,-0.30,1.25,35.96,24.00,1.00,232.00
,-,-,-,-,-,-,2750.00,121.35,151.05,2750.00,1180.00,3300.00,1.85,1.95,550.00,-0.30,1.95,34.64,254.00,64.00,327.00
,192.00,2.00,29.00,25.07,112.00,-2.70,1100.00,111.50,112.95,2750.00,1200.00,550.00,2.95,3.05,2200.00,-0.65,2.85,32.82,553.00,53.00,1930.00
,51.00,-,-,-,-,-,1100.00,93.10,94.70,1650.00,1220.00,1100.00,4.70,4.75,550.00,-0.60,4.75,31.75,346.00,12.00,634.00
,92.00,1.00,2.00,33.02,84.00,7.05,1100.00,75.95,77.25,550.00,1240.00,3850.00,7.25,7.40,2200.00,-0.95,7.30,30.71,466.00,54.00,759.00
,120.00,-2.00,25.00,28.61,61.00,-1.90,1100.00,60.00,60.85,550.00,1260.00,550.00,11.00,11.15,1100.00,-1.10,11.10,29.65,544.00,-20.00,1125.00
,179.00,13.00,68.00,27.68,46.90,-1.85,1100.00,45.75,46.20,550.00,1280.00,2200.00,16.50,16.70,1650.00,-1.55,16.30,28.75,480.00,2.00,866.00
,1711.00,46.00,1291.00,26.98,33.65,-2.70,550.00,33.60,33.75,550.00,1300.00,550.00,24.00,24.10,550.00,-1.35,24.00,28.17,1734.00,71.00,2628.00
,1788.00,329.00,3043.00,26.38,23.50,-2.35,550.00,23.35,23.45,1100.00,1320.00,1100.00,33.65,33.95,1100.00,-1.35,33.55,27.31,909.00,73.00,1197.00
,1957.00,254.00,2283.00,26.07,15.40,-2.20,1100.00,15.35,15.45,1650.00,1340.00,550.00,45.60,45.85,550.00,-1.15,45.10,27.02,249.00,19.00,1087.00
,3163.00,183.00,2336.00,26.04,9.80,-1.80,550.00,9.80,9.85,2200.00,1360.00,1100.00,59.65,60.55,550.00,-1.20,59.15,27.15,84.00,-28.00,1229.00
,2714.00,-82.00,1315.00,26.31,6.20,-1.35,550.00,6.15,6.25,1650.00,1380.00,1100.00,75.75,76.95,550.00,-5.50,70.60,27.01,6.00,-4.00,1042.00
