CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,,,,,,,,,,,,
,-,-,-,-,-,-,27500.00,174.80,221.60,27500.00,500.00,4125.00,0.15,0.30,1375.00,-,-,-,-,-,51.00,,,,,,,,,,,,
,-,-,-,-,-,-,27500.00,165.95,209.95,27500.00,510.00,-,-,2.00,2750.00,-,-,-,-,-,-,,,,,,,,,,,,
,5.00,-,-,-,-,-,1375.00,166.85,189.50,1375.00,520.00,-,-,2.00,2750.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,27500.00,147.55,187.95,27500.00,530.00,30250.00,0.05,2.00,2750.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,27500.00,138.80,176.90,27500.00,540.00,30250.00,0.05,2.00,2750.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,27500.00,130.30,163.25,27500.00,550.00,4125.00,0.15,0.25,1375.00,-0.30,0.20,52.04,6.00,-1.00,17.00,,,,,,,,,,,,
,-,-,-,-,-,-,4125.00,126.45,146.15,4125.00,560.00,27500.00,0.15,1.00,1375.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,4125.00,116.45,135.70,4125.00,570.00,1375.00,0.20,0.50,1375.00,-0.25,0.35,48.65,5.00,-,13.00,,,,,,,,,,,,
,-,-,-,-,-,-,4125.00,106.45,125.60,4125.00,580.00,11000.00,0.40,0.45,8250.00,-0.30,0.40,45.91,39.00,-19.00,23.00,,,,,,,,,,,,
,-,-,-,-,-,-,4125.00,97.50,116.55,4125.00,590.00,1375.00,0.35,1.45,1375.00,-0.35,0.55,44.44,11.00,-,24.00,,,,,,,,,,,,
,5.00,1.00,2.00,-,97.80,9.25,1375.00,94.65,97.10,1375.00,600.00,2750.00,0.70,0.75,27500.00,-0.50,0.70,42.38,144.00,2.00,530.00,,,,,,,,,,,,
,1.00,-,-,-,-,-,4125.00,84.30,86.45,1375.00,610.00,22000.00,0.80,0.90,20625.00,-0.65,0.85,39.71,36.00,-,40.00,,,,,,,,,,,,
,2.00,-,-,-,-,-,2750.00,74.55,76.70,2750.00,620.00,4125.00,1.05,1.10,5500.00,-0.75,1.10,37.86,140.00,-4.00,344.00,,,,,,,,,,,,
,7.00,-,-,-,-,-,5500.00,65.05,67.05,1375.00,630.00,1375.00,1.45,1.50,6875.00,-1.05,1.45,35.60,310.00,102.00,703.00,,,,,,,,,,,,
,12.00,-,1.00,25.23,58.95,2.20,4125.00,56.05,57.90,6875.00,640.00,13750.00,2.10,2.20,9625.00,-1.35,2.20,34.47,230.00,-28.00,259.00,,,,,,,,,,,,
,97.00,-2.00,13.00,26.80,48.40,3.85,1375.00,48.00,48.35,1375.00,650.00,12375.00,3.10,3.20,5500.00,-1.85,3.10,32.91,716.00,60.00,1186.00,,,,,,,,,,,,
,38.00,-,7.00,27.02,41.10,0.60,2750.00,39.15,39.95,1375.00,660.00,8250.00,4.45,4.55,4125.00,-2.30,4.50,31.45,325.00,-27.00,396.00,,,,,,,,,,,,
,55.00,-1.00,35.00,24.05,31.85,3.95,1375.00,31.20,31.65,2750.00,670.00,9625.00,6.30,6.40,1375.00,-3.05,6.35,30.50,569.00,106.00,593.00,,,,,,,,,,,,
,255.00,-32.00,275.00,24.81,24.00,2.50,4125.00,24.05,24.25,2750.00,680.00,5500.00,9.00,9.10,1375.00,-3.50,9.20,30.59,934.00,113.00,1303.00,,,,,,,,,,,,
,542.00,-83.00,965.00,25.83,17.85,2.00,1375.00,17.85,17.95,1375.00,690.00,1375.00,12.75,12.90,2750.00,-4.20,12.85,28.95,1263.00,190.00,740.00,,,,,,,,,,,,
,1907.00,240.00,2793.00,25.26,12.40,1.25,8250.00,12.50,12.60,1375.00,700.00,1375.00,17.40,17.55,2750.00,-4.80,17.55,28.90,1132.00,127.00,1243.00,,,,,,,,,,,,
,894.00,63.00,2274.00,25.30,8.40,0.90,4125.00,8.40,8.45,1375.00,710.00,1375.00,23.20,23.55,5500.00,-5.50,23.40,30.65,94.00,-8.00,391.00,,,,,,,,,,,,
,1385.00,17.00,1371.00,25.21,5.55,0.50,2750.00,5.55,5.65,19250.00,720.00,2750.00,30.15,30.65,1375.00,-6.15,29.90,31.23,35.00,-4.00,641.00,,,,,,,,,,,,
,1276.00,-47.00,875.00,25.99,3.70,0.15,6875.00,3.65,3.70,48125.00,730.00,2750.00,38.25,38.85,1375.00,-6.30,37.95,30.66,58.00,-14.00,883.00,,,,,,,,,,,,
,1457.00,8.00,425.00,27.11,2.50,-0.05,6875.00,2.50,2.55,4125.00,740.00,2750.00,47.00,47.60,2750.00,-6.75,46.70,35.05,18.00,-3.00,420.00,,,,,,,,,,,,
,2578.00,-41.00,697.00,28.09,1.75,-0.15,15125.00,1.75,1.80,9625.00,750.00,5500.00,55.95,56.80,2750.00,-7.35,56.00,37.95,5.00,-3.00,659.00,,,,,,,,,,,,
,2461.00,20.00,315.00,28.95,1.25,-0.10,9625.00,1.20,1.25,4125.00,760.00,2750.00,65.55,66.45,1375.00,-6.90,64.00,36.00,2.00,-,183.00,,,,,,,,,,,,
,2083.00,-154.00,483.00,30.82,1.00,-0.15,13750.00,1.00,1.05,45375.00,770.00,2750.00,75.15,76.25,4125.00,-8.05,74.00,39.99,1.00,-,183.00,,,,,,,,,,,,
,897.00,2.00,145.00,32.54,0.75,-0.15,17875.00,0.75,0.80,11000.00,780.00,1375.00,84.35,86.10,1375.00,-,-,-,-,-,96.00,,,,,,,,,,,,
,1861.00,12.00,188.00,34.66,0.70,-0.05,19250.00,0.65,0.70,37125.00,790.00,2750.00,94.40,95.85,1375.00,-5.65,91.80,35.72,3.00,-,27.00,,,,,,,,,,,,
,1735.00,-4.00,152.00,35.45,0.55,-0.10,115500.00,0.50,0.55,78375.00,800.00,5500.00,104.35,105.50,2750.00,-7.85,103.05,46.85,1.00,-,289.00,,,,,,,,,,,,
,374.00,-4.00,46.00,36.81,0.40,-0.05,16500.00,0.35,0.40,6875.00,810.00,4125.00,104.80,124.00,4125.00,-,-,-,-,-,-,,,,,,,,,,,,
,481.00,-1.00,7.00,37.75,0.30,-0.10,2750.00,0.30,0.35,12375.00,820.00,4125.00,114.55,126.80,5500.00,-,-,-,-,-,32.00,,,,,,,,,,,,
,357.00,-1.00,5.00,39.18,0.25,-0.05,6875.00,0.20,0.30,4125.00,830.00,27500.00,118.30,148.75,27500.00,-,-,-,-,-,1.00,,,,,,,,,,,,
,146.00,-,3.00,40.32,0.25,-0.05,4125.00,0.20,0.30,9625.00,840.00,1375.00,134.85,152.80,1375.00,-,-,-,-,-,3.00,,,,,,,,,,,,
,271.00,-6.00,10.00,42.54,0.20,-,15125.00,0.15,0.25,6875.00,850.00,5500.00,144.50,160.60,4125.00,-,-,-,-,-,14.00,,,,,,,,,,,,
,24.00,-,-,-,-,-,12375.00,0.10,0.20,2750.00,860.00,27500.00,144.60,182.45,28875.00,-,-,-,-,-,2.00,,,,,,,,,,,,
,3.00,-,-,-,-,-,8250.00,0.05,0.20,4125.00,870.00,27500.00,153.80,193.75,27500.00,-,-,-,-,-,1.00,,,,,,,,,,,,
,11.00,-,1.00,48.97,0.20,-0.05,8250.00,0.10,0.20,1375.00,880.00,27500.00,162.70,206.50,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,1.00,-,-,-,-,-,8250.00,0.05,0.35,2750.00,890.00,27500.00,171.90,217.65,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,204.00,-2.00,16.00,49.11,0.10,-,42625.00,0.05,0.15,17875.00,900.00,2750.00,191.05,211.25,1375.00,-,-,-,-,-,34.00,,,,,,,,,,,,
,1.00,-,-,-,-,-,-,-,0.35,2750.00,910.00,27500.00,190.00,240.15,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,0.35,2750.00,920.00,27500.00,199.15,252.60,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,0.50,2750.00,930.00,27500.00,208.00,262.50,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,0.50,2750.00,940.00,27500.00,217.05,274.10,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,3.00,-,-,-,-,-,-,-,0.35,2750.00,950.00,1375.00,241.00,266.25,1375.00,-,-,-,-,-,3.00,,,,,,,,,,,,
,3.00,-,-,-,-,-,-,-,0.75,2750.00,960.00,27500.00,230.70,295.85,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,0.80,1375.00,970.00,27500.00,239.80,307.50,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,1.00,-,-,-,-,-,-,-,0.90,1375.00,980.00,27500.00,248.50,317.90,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,2.00,-,-,-,-,-,-,-,1.00,1375.00,990.00,27500.00,257.65,329.50,27500.00,-,-,-,-,-,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
