CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,12000.00,351.45,438.55,12000.00,1040.00,900.00,0.20,1.00,600.00,-,-,-,-,-,45.00
,-,-,-,-,-,-,12000.00,334.25,416.75,12000.00,1060.00,3000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,12000.00,316.35,394.35,12000.00,1080.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,12000.00,298.95,366.15,12000.00,1100.00,600.00,0.65,0.70,300.00,-,0.70,60.71,33.00,-2.00,245.00
,-,-,-,-,-,-,12000.00,281.20,344.55,12000.00,1120.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,900.00,266.85,314.90,12000.00,1140.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,900.00,246.95,294.95,12000.00,1160.00,600.00,0.20,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,900.00,226.95,267.20,900.00,1180.00,300.00,0.25,-,-,-,-,-,-,-,-
,52.00,-,-,-,-,-,300.00,224.20,227.60,1500.00,1200.00,300.00,2.05,2.10,900.00,-0.05,2.05,50.80,110.00,-24.00,783.00
,-,-,-,-,-,-,900.00,186.85,235.60,12000.00,1220.00,300.00,0.50,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,1200.00,175.90,208.10,900.00,1240.00,2400.00,2.85,2.95,300.00,-0.15,2.80,45.85,116.00,2.00,184.00
,-,-,-,-,-,-,1200.00,156.20,188.65,900.00,1260.00,1500.00,3.45,3.60,3000.00,-0.50,3.45,43.68,80.00,-4.00,177.00
,-,-,-,-,-,-,1200.00,136.20,169.50,900.00,1280.00,300.00,4.30,4.45,3000.00,-0.70,4.20,41.33,318.00,10.00,287.00
,89.00,-6.00,25.00,32.61,133.00,2.75,1200.00,129.25,131.80,1800.00,1300.00,1500.00,5.50,5.65,600.00,-1.30,5.50,39.47,494.00,11.00,1786.00
,3.00,-,-,-,-,-,300.00,110.90,113.60,300.00,1320.00,900.00,6.95,7.10,300.00,-1.70,7.10,37.57,317.00,29.00,729.00
