CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,96000.00,91.50,114.90,96000.00,162.50,-,-,0.20,12800.00,-,-,-,-,-,1
,-,-,-,-,-,-,96000.00,90.90,112.20,96000.00,165.00,-,-,0.20,12800.00,-,-,-,-,-,2
,-,-,-,-,-,-,96000.00,88.70,109.45,96000.00,167.50,-,-,0.25,12800.00,-,-,-,-,-,4
,-,-,-,-,-,-,96000.00,86.35,106.65,96000.00,170.00,-,-,0.45,12800.00,-,-,-,-,-,3
,-,-,-,-,-,-,96000.00,84.10,103.95,96000.00,172.50,-,-,0.30,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,82.05,101.60,96000.00,175.00,-,-,0.30,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,79.70,98.35,96000.00,177.50,-,-,0.45,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,77.25,95.65,96000.00,180.00,-,-,0.30,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,75.20,93.00,96000.00,182.50,-,-,0.55,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,73.00,90.25,96000.00,185.00,-,-,0.35,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,70.45,87.50,96000.00,187.50,-,-,0.55,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,68.15,84.70,96000.00,190.00,-,-,0.20,3200.00,-,-,-,-,-,1
,-,-,-,-,-,-,96000.00,66.10,82.10,96000.00,192.50,6400.00,0.05,0.25,12800.00,-,-,-,-,-,3
,-,-,-,-,-,-,96000.00,63.75,79.15,96000.00,195.00,-,-,0.35,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,61.60,76.55,96000.00,197.50,-,-,0.55,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,59.30,73.80,96000.00,200.00,3200.00,0.10,0.15,99200.00,-,0.10,62.67,1,-,47
,-,-,-,-,-,-,96000.00,57.10,71.00,96000.00,202.50,-,-,0.55,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,54.75,68.40,96000.00,205.00,-,-,0.55,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,52.50,65.40,96000.00,207.50,-,-,0.55,12800.00,-,-,-,-,-,-
,1.00,-,-,-,-,-,96000.00,50.15,62.90,96000.00,210.00,3200.00,0.10,0.30,3200.00,-,0.10,53.01,1,-,38
,-,-,-,-,-,-,96000.00,47.90,60.35,96000.00,212.50,-,-,0.55,12800.00,-,-,-,-,-,-
,-,-,-,-,-,-,9600.00,46.25,54.05,9600.00,215.00,-,-,0.50,6400.00,-,-,-,-,-,-
,-,-,-,-,-,-,96000.00,43.80,54.70,96000.00,217.50,-,-,0.55,12800.00,-,-,-,-,-,-
,18.00,-,1.00,66.28,46.65,0.70,12800.00,43.00,45.05,6400.00,220.00,12800.00,0.10,0.15,124800.00,-0.05,0.10,43.65,11,-4,207
,-,-,-,-,-,-,96000.00,38.05,49.50,96000.00,222.50,3200.00,0.10,0.40,6400.00,-,-,-,-,-,2
,2.00,-,-,-,-,-,9600.00,36.25,43.80,9600.00,225.00,38400.00,0.05,0.30,25600.00,-,-,-,-,-,59
,-,-,-,-,-,-,96000.00,33.55,44.20,96000.00,227.50,6400.00,0.05,0.60,9600.00,-,-,-,-,-,1
,62.00,-,1.00,62.41,37.20,1.95,3200.00,34.40,34.95,3200.00,230.00,198400.00,0.15,0.20,89600.00,-0.10,0.20,38.45,10,5,542
,-,-,-,-,-,-,96000.00,26.70,39.60,96000.00,232.50,64000.00,0.10,0.60,12800.00,-,-,-,-,-,1
,3.00,-,-,-,-,-,3200.00,29.35,31.95,9600.00,235.00,32000.00,0.25,0.35,25600.00,-0.05,0.30,36.12,38,34,96
,-,-,-,-,-,-,96000.00,22.10,34.20,99200.00,237.50,28800.00,0.30,0.40,3200.00,-,-,-,-,-,42
,146.00,-2.00,4.00,46.46,27.00,2.70,9600.00,24.70,25.20,6400.00,240.00,35200.00,0.45,0.50,51200.00,-0.10,0.45,33.70,153,-2,731
,-,-,-,-,-,-,6400.00,12.25,26.65,6400.00,242.50,44800.00,0.55,0.60,51200.00,-0.05,0.55,32.43,40,8,44
,35.00,-,-,-,-,-,3200.00,19.95,20.60,6400.00,245.00,44800.00,0.65,0.75,60800.00,-0.10,0.70,31.46,59,7,257
,-,-,-,-,-,-,3200.00,13.35,22.00,6400.00,247.50,6400.00,0.90,0.95,41600.00,-0.10,0.90,30.58,70,8,83
,214.00,1.00,6.00,19.83,16.00,0.70,3200.00,15.65,15.95,3200.00,250.00,35200.00,1.15,1.20,22400.00,-0.15,1.20,29.96,322,-7,"1,377"
,2.00,-,-,-,-,-,3200.00,8.65,17.15,3200.00,252.50,41600.00,1.45,1.50,6400.00,-0.20,1.50,28.61,93,5,119
,66.00,1.00,6.00,28.83,12.55,1.25,3200.00,11.35,11.70,3200.00,255.00,25600.00,1.90,1.95,12800.00,-0.30,1.90,28.03,241,35,475
,10.00,-,-,-,-,-,6400.00,9.40,9.80,3200.00,257.50,41600.00,2.45,2.55,12800.00,-0.25,2.55,27.76,97,8,91
,483.00,7.00,253.00,21.97,7.80,0.10,9600.00,7.85,7.95,6400.00,260.00,48000.00,3.20,3.25,12800.00,-0.35,3.25,27.34,"1,150",56,"1,069"
,79.00,4.00,53.00,23.18,6.25,-,6400.00,6.30,6.40,3200.00,262.50,12800.00,4.10,4.20,6400.00,-0.45,4.15,27.23,323,31,178
,785.00,147.00,1692.00,22.82,5.00,0.05,32000.00,4.95,5.05,16000.00,265.00,16000.00,5.25,5.35,6400.00,-0.40,5.40,27.26,811,39,745
,387.00,72.00,470.00,23.09,3.90,-,6400.00,3.85,3.90,9600.00,267.50,12800.00,6.60,6.75,6400.00,-0.50,6.70,26.85,224,36,207
,2653.00,139.00,2125.00,23.49,2.95,-0.10,35200.00,2.95,3.00,16000.00,270.00,16000.00,8.15,8.35,9600.00,-0.50,8.35,28.22,358,22,858
,443.00,11.00,285.00,23.40,2.20,-0.10,3200.00,2.25,2.30,22400.00,272.50,9600.00,9.95,10.15,6400.00,-0.50,10.10,29.66,63,21,108
,3796.00,46.00,875.00,23.81,1.65,-0.05,9600.00,1.65,1.70,57600.00,275.00,3200.00,11.80,12.10,6400.00,-1.00,11.50,27.65,10,-,613
,259.00,8.00,118.00,25.11,1.35,-0.05,19200.00,1.30,1.35,12800.00,277.50,3200.00,13.90,14.25,6400.00,-1.70,11.85,14.42,7,-3,37
,3661.00,-14.00,920.00,25.85,1.05,-0.05,89600.00,1.05,1.10,169600.00,280.00,3200.00,16.20,16.50,9600.00,-1.95,15.15,23.46,21,2,454
,207.00,5.00,99.00,27.35,0.85,-0.05,6400.00,0.85,0.90,51200.00,282.50,99200.00,13.85,22.15,3200.00,-,-,-,-,-,14
,1133.00,-9.00,356.00,27.98,0.70,-0.05,160000.00,0.65,0.75,96000.00,285.00,3200.00,20.75,21.15,3200.00,0.50,20.50,34.00,18,-7,48
,129.00,7.00,72.00,29.29,0.60,-0.05,67200.00,0.55,0.60,16000.00,287.50,6400.00,18.95,24.55,6400.00,-,-,-,-,-,1
,1912.00,6.00,451.00,30.31,0.50,-0.05,409600.00,0.45,0.55,336000.00,290.00,3200.00,25.45,25.95,3200.00,-0.30,25.60,38.60,4,-,120
,91.00,5.00,21.00,31.79,0.45,-,41600.00,0.40,0.45,25600.00,292.50,99200.00,19.95,31.70,99200.00,-,-,-,-,-,-
,438.00,-7.00,29.00,32.23,0.35,-0.05,28800.00,0.35,0.40,115200.00,295.00,12800.00,28.40,31.80,12800.00,-,-,-,-,-,4
,89.00,-,6.00,35.18,0.40,-0.10,163200.00,0.30,0.40,73600.00,297.50,96000.00,26.35,37.35,96000.00,-,-,-,-,-,-
,4261.00,-133.00,284.00,35.22,0.30,-0.05,1184000.00,0.30,0.35,1222400.00,300.00,3200.00,35.00,35.70,3200.00,-,-,-,-,-,74
,71.00,-3.00,7.00,35.94,0.25,-0.05,25600.00,0.25,0.30,44800.00,302.50,96000.00,31.75,42.10,96000.00,-,-,-,-,-,-
,203.00,33.00,56.00,36.40,0.20,-0.10,323200.00,0.20,0.25,227200.00,305.00,9600.00,36.45,44.00,9600.00,-,-,-,-,-,-
,45.00,1.00,2.00,39.60,0.25,-,32000.00,0.20,0.25,12800.00,307.50,96000.00,36.40,46.25,96000.00,-,-,-,-,-,-
,1124.00,58.00,209.00,39.90,0.20,-0.05,457600.00,0.20,0.25,611200.00,310.00,3200.00,44.80,45.85,3200.00,-2.70,43.55,-,1,-,32
,33.00,-,-,-,-,-,3200.00,0.15,0.30,19200.00,312.50,96000.00,41.15,52.75,96000.00,-,-,-,-,-,-
,304.00,-,11.00,41.45,0.15,-,22400.00,0.15,0.20,99200.00,315.00,9600.00,46.45,53.95,9600.00,-,-,-,-,-,-
,151.00,-,-,-,-,-,25600.00,0.05,0.10,9600.00,317.50,96000.00,45.60,57.00,96000.00,-,-,-,-,-,-
,479.00,3.00,8.00,44.65,0.15,-,435200.00,0.10,0.15,336000.00,320.00,3200.00,51.45,58.95,3200.00,-,-,-,-,-,1
,11.00,-,-,-,-,-,6400.00,0.05,0.15,6400.00,322.50,96000.00,50.50,62.70,96000.00,-,-,-,-,-,-
,126.00,-,-,-,-,-,6400.00,0.10,0.15,86400.00,325.00,96000.00,53.35,65.45,96000.00,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,0.40,12800.00,327.50,96000.00,54.95,68.20,96000.00,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
