CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,3000.00,1441.65,1827.35,3000.00,2600.00,3000.00,0.10,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,1349.80,1691.80,3000.00,2700.00,3000.00,0.10,2.00,150.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,1260.85,1606.70,3000.00,2800.00,3000.00,0.10,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,1194.45,1490.05,3000.00,2900.00,3000.00,0.10,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,1105.00,1364.05,3000.00,3000.00,300.00,0.40,1.80,150.00,-0.05,2.45,78.92,4.00,-,24.00
,-,-,-,-,-,-,3000.00,1013.90,1252.70,3000.00,3100.00,150.00,0.20,-,-,-,-,-,-,-,7.00
,-,-,-,-,-,-,3000.00,925.60,1154.40,3000.00,3200.00,150.00,0.25,-,-,-,-,-,-,-,10.00
,-,-,-,-,-,-,3000.00,832.10,1027.60,3000.00,3300.00,150.00,1.55,-,-,-,-,-,-,-,64.00
,-,-,-,-,-,-,450.00,744.85,889.80,450.00,3400.00,150.00,2.05,-,-,-,-,-,-,-,33.00
,1.00,-,-,-,-,-,450.00,682.85,726.15,450.00,3500.00,150.00,7.85,8.00,150.00,-1.80,7.15,56.24,76.00,37.00,180.00
,1.00,-,-,-,-,-,300.00,594.10,615.80,750.00,3600.00,300.00,13.15,13.45,900.00,-2.10,12.75,55.73,30.00,-2.00,106.00
,10.00,-,-,-,-,-,150.00,503.70,520.85,300.00,3700.00,150.00,21.40,21.70,900.00,-2.05,21.05,53.30,35.00,5.00,109.00
,68.00,-,-,-,-,-,150.00,418.45,429.70,300.00,3800.00,150.00,33.15,33.90,150.00,-3.15,33.35,53.77,55.00,20.00,187.00
,37.00,-,-,-,-,-,150.00,335.10,345.30,150.00,3900.00,150.00,50.10,50.80,150.00,-5.10,49.50,51.92,87.00,32.00,104.00
,95.00,-,3.00,36.68,270.00,23.70,150.00,260.20,266.15,150.00,4000.00,150.00,72.65,73.60,150.00,-5.50,72.95,51.03,170.00,-7.00,247.00
,78.00,-,2.00,37.28,200.00,19.15,300.00,190.40,198.70,150.00,4100.00,150.00,103.20,104.35,600.00,-8.80,103.40,49.16,103.00,10.00,128.00
,236.00,12.00,275.00,35.53,134.50,6.65,300.00,134.20,136.00,150.00,4200.00,150.00,144.85,146.65,150.00,-14.95,145.55,49.58,252.00,32.00,160.00
,427.00,38.00,703.00,36.36,91.15,2.00,450.00,90.25,91.55,150.00,4300.00,150.00,198.75,202.55,150.00,-29.80,192.45,47.61,37.00,-15.00,132.00
,335.00,48.00,335.00,36.87,58.70,-3.35,150.00,58.85,60.05,150.00,4400.00,150.00,262.85,268.95,150.00,-28.65,261.75,49.72,5.00,1.00,54.00
,471.00,78.00,334.00,37.64,37.80,-3.45,300.00,37.40,38.05,150.00,4500.00,300.00,341.15,376.80,300.00,-49.50,311.85,42.05,1.00,-,87.00
,240.00,20.00,185.00,39.17,24.20,-2.75,300.00,23.75,24.45,300.00,4600.00,300.00,427.15,487.50,300.00,-49.05,390.85,40.82,2.00,-,13.00
,237.00,5.00,213.00,40.46,15.55,-2.60,150.00,15.30,15.55,150.00,4700.00,150.00,518.00,527.95,150.00,-,-,-,-,-,14.00
,183.00,2.00,72.00,42.14,10.15,-2.10,450.00,10.10,10.35,300.00,4800.00,450.00,608.95,621.90,450.00,-138.80,598.55,58.57,3.00,-2.00,12.00
,107.00,10.00,34.00,43.72,7.05,-1.45,300.00,6.90,7.25,150.00,4900.00,450.00,621.00,749.00,450.00,-,-,-,-,-,-
,482.00,-7.00,65.00,45.71,5.10,-0.45,300.00,5.00,5.25,150.00,5000.00,450.00,803.20,816.75,300.00,-,-,-,-,-,68.00
,80.00,-1.00,4.00,48.33,4.10,-0.75,300.00,4.00,6.85,150.00,5100.00,300.00,816.65,970.75,300.00,-,-,-,-,-,21.00
,189.00,-,1.00,48.85,2.55,-,150.00,2.50,3.05,150.00,5200.00,300.00,910.25,1047.60,150.00,-,-,-,-,-,17.00
,-,-,-,-,-,-,150.00,1.30,-,-,5300.00,3000.00,964.25,1195.70,3000.00,-,-,-,-,-,-
,17.00,-,-,-,-,-,150.00,1.00,-,-,5400.00,3000.00,1053.90,1320.45,3000.00,-,-,-,-,-,1.00
,45.00,-,-,-,-,-,150.00,1.00,3.40,300.00,5500.00,300.00,1191.10,1317.05,150.00,-,-,-,-,-,12.00
,2.00,-,-,-,-,-,3000.00,0.10,-,-,5600.00,3000.00,1214.50,1549.60,3000.00,-,-,-,-,-,1.00
,14.00,-,-,-,-,-,900.00,1.15,-,-,5700.00,3000.00,1304.30,1669.85,3000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.10,-,-,5800.00,3000.00,1406.30,1783.15,3000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.10,-,-,5900.00,3000.00,1497.75,1894.85,3000.00,-,-,-,-,-,-
,6.00,-,-,-,-,-,150.00,0.60,-,-,6000.00,150.00,1722.10,1934.15,3150.00,-,-,-,-,-,3.00
,-,-,-,-,-,-,3000.00,0.10,-,-,6100.00,3000.00,1675.60,2095.55,3000.00,-,-,-,-,-,-
,-,-,-,-,-,-,3000.00,0.10,-,-,6200.00,3000.00,1734.95,2203.60,3000.00,-,-,-,-,-,-
