CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,,
,-,-,-,-,-,-,5000.00,1404.25,1785.45,5000.00,2750.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1359.80,1732.10,5000.00,2800.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1315.35,1676.25,5000.00,2850.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1270.90,1606.35,5000.00,2900.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1226.45,1564.50,5000.00,2950.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1181.80,1503.45,5000.00,3000.00,250.00,0.35,-,-,-,-,-,-,-,6.00,,
,-,-,-,-,-,-,5000.00,1160.15,1428.90,5000.00,3050.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1113.95,1385.80,5000.00,3100.00,3000.00,0.15,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1068.85,1341.10,5000.00,3150.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,1023.55,1282.85,5000.00,3200.00,3000.00,0.15,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,978.40,1214.10,5000.00,3250.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,933.25,1158.25,5000.00,3300.00,3000.00,0.15,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,5000.00,888.85,1102.40,5000.00,3350.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
