CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,6.00,-,-,-,-,-,250.00,743.00,823.20,250.00,1840.00,250.00,0.55,0.75,1500.00,-,-,-,-,-,91
,-,-,-,-,-,-,10000.00,701.80,852.65,10000.00,1860.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,10000.00,674.05,828.45,10000.00,1880.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,10000.00,657.60,809.85,10000.00,1900.00,500.00,0.80,1.15,250.00,-0.05,0.9,69.61,15,-3,88
,-,-,-,-,-,-,10000.00,638.45,789.85,10000.00,1920.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,10000.00,628.75,765.85,10000.00,1940.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,10000.00,602.80,743.50,10000.00,1960.00,6000.00,0.15,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,10000.00,590.10,721.15,10000.00,1980.00,6000.00,0.15,-,-,-,-,-,-,-,-
,8.00,-,-,-,-,-,750.00,582.10,661.80,750.00,2000.00,250.00,1.15,1.30,1250.00,-0.15,1.2,62.61,73,15,606
,-,-,-,-,-,-,10000.00,560.55,677.90,10000.00,2020.00,10000.00,0.20,3.00,1000.00,-,-,-,-,-,-
,-,-,-,-,-,-,10000.00,535.30,652.95,10000.00,2040.00,10000.00,0.20,3.00,1000.00,-,-,-,-,-,-
,4.00,-,-,-,-,-,1250.00,549.70,566.30,1250.00,2060.00,10000.00,0.20,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,750.00,529.80,547.45,1250.00,2080.00,20000.00,0.25,-,-,-,-,-,-,-,-
,16.00,-,-,-,-,-,750.00,509.90,526.30,750.00,2100.00,250.00,1.35,1.50,250.00,-0.70,1.3,52.62,95,20,737
,3.00,-,-,-,-,-,750.00,490.00,506.50,1250.00,2120.00,10000.00,0.40,-,-,-,-,-,-,-,4
,4.00,-,-,-,-,-,750.00,470.15,487.70,1250.00,2140.00,10000.00,0.50,-,-,-,-,-,-,-,12
,-,-,-,-,-,-,750.00,450.30,466.70,1250.00,2160.00,10000.00,0.50,-,-,-,-,-,-,-,-
,4.00,-,-,-,-,-,750.00,430.50,446.85,750.00,2180.00,500.00,1.95,2.20,250.00,-1.10,2.05,48.08,34,1,27
,25.00,-,-,-,-,-,750.00,412.90,426.15,250.00,2200.00,750.00,2.25,2.35,1000.00,-1.00,2.45,46.76,386,-19,"1,248"
,-,-,-,-,-,-,750.00,391.45,407.20,750.00,2220.00,500.00,2.55,2.70,250.00,-1.20,2.8,46.42,31,4,45
,-,-,-,-,-,-,750.00,371.45,388.55,750.00,2240.00,500.00,2.90,3.00,500.00,-1.50,3.15,45.15,77,5,99
,-,-,-,-,-,-,750.00,351.95,368.00,750.00,2260.00,250.00,3.30,3.40,750.00,-1.85,3.4,43.78,42,1,103
,-,-,-,-,-,-,750.00,330.05,346.00,1250.00,2280.00,250.00,3.85,4.00,1250.00,-2.10,3.95,42.87,78,14,126
,52.00,-1.00,3.00,46.65,331.00,27.55,750.00,317.20,324.30,250.00,2300.00,1500.00,4.50,4.60,2500.00,-2.40,4.7,42.08,872,1,"1,668"
,2.00,-,-,-,-,-,750.00,293.10,308.85,1250.00,2320.00,2000.00,5.30,5.40,1250.00,-2.70,5.6,41.49,182,8,87
,1.00,-,-,-,-,-,750.00,274.20,289.90,1250.00,2340.00,2750.00,6.25,6.40,500.00,-3.40,6.35,40.87,209,-3,297
,2.00,-,-,-,-,-,1000.00,255.35,270.75,1250.00,2360.00,2250.00,7.45,7.60,750.00,-3.95,7.6,40.31,378,31,370
,-,-,-,-,-,-,750.00,240.05,251.50,500.00,2380.00,1500.00,8.95,9.10,500.00,-3.70,9.9,39.7,232,19,317
,242.00,-12.00,23.00,23.09,225.00,6.75,250.00,225.95,228.95,250.00,2400.00,750.00,10.75,10.90,500.00,-5.05,10.95,39.18,"1,705",-4,"3,021"
,10.00,-,-,-,-,-,500.00,203.95,214.65,500.00,2420.00,1250.00,12.75,12.90,750.00,-5.10,13.5,38.44,456,20,382
,58.00,-,-,-,-,-,2000.00,190.50,194.80,250.00,2440.00,250.00,15.10,15.20,500.00,-5.60,16.05,38.01,540,-36,476
,79.00,-2.00,10.00,27.71,172.00,7.20,500.00,174.05,176.00,250.00,2460.00,1500.00,17.75,17.95,750.00,-7.20,17.95,37.35,787,-84,493
,97.00,-,2.00,47.50,183.50,35.45,500.00,156.05,160.00,1750.00,2480.00,750.00,21.10,21.35,1000.00,-7.90,21.35,36.94,576,-53,421
,995.00,-35.00,258.00,27.12,141.20,7.55,250.00,141.50,143.05,750.00,2500.00,250.00,25.15,25.40,750.00,-8.85,25.3,36.58,"3,938",-196,"5,844"
,151.00,-4.00,14.00,27.65,122.55,3.20,250.00,126.55,128.00,250.00,2520.00,250.00,29.60,29.80,250.00,-8.90,30.5,36.12,"1,027",-100,541
,133.00,6.00,26.00,30.73,109.00,2.95,250.00,112.50,113.50,750.00,2540.00,250.00,34.95,35.25,750.00,-10.20,35.15,35.72,"1,204",-14,"1,017"
