CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,1.00,-,-,-,-,-,45000.00,118.30,142.00,45000.00,330.00,1500.00,0.80,1.00,1500.00,0.10,0.90,56.91,9.00,9.00,22
,-,-,-,-,-,-,45000.00,109.60,132.75,45000.00,340.00,3000.00,0.25,2.00,1500.00,-,-,-,-,-,-
,3.00,3.00,3.00,83.17,115.00,22.70,3000.00,101.05,113.30,3000.00,350.00,6000.00,1.30,1.35,1500.00,0.35,1.30,51.64,40.00,36.00,94
,-,-,-,-,-,-,45000.00,83.20,108.95,45000.00,360.00,7500.00,1.45,1.95,3000.00,-1.10,1.50,48.58,5.00,2.00,10
,-,-,-,-,-,-,45000.00,76.70,100.60,45000.00,370.00,1500.00,1.10,2.00,6000.00,-,-,-,-,4.00,4
,1.00,-,-,-,-,-,45000.00,66.90,83.90,4500.00,380.00,4500.00,2.45,2.50,1500.00,0.40,2.40,44.34,98.00,26.00,123
,-,-,-,-,-,-,45000.00,56.90,74.70,4500.00,390.00,12000.00,3.15,3.25,7500.00,0.60,3.20,42.86,113.00,23.00,60
,98.00,12.00,29.00,31.38,59.00,-0.35,3000.00,58.15,59.25,1500.00,400.00,9000.00,4.15,4.25,10500.00,0.70,4.20,41.26,665.00,74.00,892
,-,-,-,-,-,-,1500.00,47.30,56.60,1500.00,410.00,13500.00,5.35,5.50,12000.00,0.60,5.35,39.30,129.00,17.00,106
,10.00,-,-,-,-,-,1500.00,39.00,45.50,10500.00,420.00,4500.00,7.15,7.30,9000.00,0.85,7.10,38.02,430.00,51.00,404
,11.00,3.00,9.00,30.55,34.15,-1.70,1500.00,33.70,34.45,1500.00,430.00,1500.00,9.70,9.75,6000.00,0.90,9.50,37.11,519.00,112.00,316
,88.00,10.00,70.00,30.85,27.50,-1.40,4500.00,27.40,27.80,3000.00,440.00,1500.00,12.95,13.00,1500.00,1.40,13.00,37.16,856.00,120.00,539
,494.00,58.00,477.00,31.15,21.75,-0.80,1500.00,21.55,21.70,1500.00,450.00,3000.00,16.90,17.00,3000.00,1.75,16.95,36.68,1962.00,345.00,875
,945.00,208.00,2026.00,30.74,16.50,-0.85,9000.00,16.40,16.55,1500.00,460.00,1500.00,21.60,21.80,19500.00,1.70,21.60,36.14,2042.00,101.00,1176
,930.00,208.00,1869.00,30.73,12.35,-0.85,6000.00,12.30,12.35,1500.00,470.00,4500.00,27.25,27.70,1500.00,1.50,27.15,35.87,354.00,70.00,269
,1075.00,254.00,1740.00,30.86,9.10,-0.80,1500.00,9.05,9.10,4500.00,480.00,3000.00,33.80,34.50,6000.00,2.10,34.05,36.77,197.00,142.00,314
,522.00,88.00,597.00,30.94,6.55,-0.75,1500.00,6.50,6.60,4500.00,490.00,1500.00,41.40,42.15,1500.00,2.60,41.55,37.72,43.00,22.00,71
,1836.00,186.00,1646.00,31.23,4.70,-0.60,4500.00,4.65,4.70,6000.00,500.00,1500.00,49.35,50.25,1500.00,2.45,49.90,39.47,152.00,100.00,376
,473.00,120.00,391.00,31.28,3.25,-0.55,1500.00,3.25,3.30,6000.00,510.00,1500.00,57.50,58.55,3000.00,0.45,56.25,35.41,9.00,9.00,29
,928.00,313.00,639.00,31.32,2.20,-0.45,3000.00,2.10,2.20,4500.00,520.00,3000.00,66.20,67.40,1500.00,1.85,65.75,38.20,340.00,332.00,627
,166.00,-3.00,146.00,32.27,1.65,-0.30,3000.00,1.65,1.70,4500.00,530.00,4500.00,71.20,77.15,3000.00,-,-,-,-,-,10
,81.00,23.00,89.00,32.93,1.20,-0.25,10500.00,1.25,1.30,6000.00,540.00,4500.00,82.70,89.00,1500.00,-0.10,83.40,37.60,6.00,6.00,11
,472.00,58.00,230.00,34.79,1.05,-0.10,6000.00,1.00,1.05,6000.00,550.00,1500.00,94.85,96.55,4500.00,2.95,94.45,45.29,42.00,36.00,69
,73.00,19.00,43.00,35.99,0.85,-0.15,1500.00,0.90,1.00,1500.00,560.00,45000.00,91.50,119.90,45000.00,16.60,96.50,-,1.00,1.00,1
,49.00,8.00,14.00,37.21,0.70,-,7500.00,0.70,0.90,7500.00,570.00,45000.00,101.05,122.40,45000.00,-,-,-,-,-,-
,57.00,2.00,3.00,38.06,0.55,-0.35,1500.00,0.50,0.75,1500.00,580.00,45000.00,110.20,131.95,45000.00,-,-,-,-,-,-
,-,-,-,-,-,-,1500.00,0.30,0.90,1500.00,590.00,45000.00,117.60,143.85,45000.00,-,-,-,-,-,-
,109.00,14.00,25.00,42.50,0.55,-0.05,4500.00,0.50,0.60,7500.00,600.00,3000.00,140.25,147.80,3000.00,-8.00,134.85,-,2.00,2.00,4
,-,-,-,-,-,-,1500.00,0.20,3.35,45000.00,610.00,45000.00,135.10,166.20,45000.00,-,-,-,-,-,-
,-,-,-,-,-,-,1500.00,0.20,2.80,45000.00,620.00,45000.00,144.45,178.85,45000.00,-,-,-,-,-,-
,1.00,-,-,-,-,-,1500.00,0.20,2.35,45000.00,630.00,45000.00,153.50,189.80,45000.00,-,-,-,-,-,-
,4.00,-,-,-,-,-,1500.00,0.25,0.70,1500.00,640.00,45000.00,162.65,200.10,45000.00,-,-,-,-,-,-
