CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,1.00,-,-,-,-,-,42750.00,114.25,139.90,42750.00,280.00,92625.00,0.05,0.10,1425.00,-,0.10,118.18,13.00,3,146
,-,-,-,-,-,-,42750.00,107.75,132.75,42750.00,290.00,151050.00,0.05,0.10,29925.00,-,0.10,108.24,5.00,-,65
,3.00,-6.00,6.00,111.23,109.50,18.85,42750.00,96.55,112.50,1425.00,300.00,390450.00,0.05,0.10,41325.00,-0.05,0.05,91.31,114.00,29,398
,-,-,-,-,-,-,42750.00,89.45,109.20,42750.00,310.00,35625.00,0.10,0.15,1425.00,-0.05,0.15,93.76,8.00,-8,71
,2.00,-,-,-,-,-,42750.00,80.60,100.35,42750.00,320.00,190950.00,0.10,0.20,4275.00,-0.10,0.10,80.00,27.00,-29,163
,5.00,-,-,-,-,-,4275.00,73.75,81.55,5700.00,330.00,62700.00,0.15,0.20,9975.00,-0.10,0.20,77.85,77.00,-29,219
,49.00,-,8.00,84.06,70.00,5.65,9975.00,67.50,71.00,9975.00,340.00,229425.00,0.20,0.25,28500.00,-0.15,0.25,70.68,85.00,-34,392
,120.00,-6.00,7.00,100.94,62.00,8.30,1425.00,59.25,59.90,1425.00,350.00,81225.00,0.25,0.30,101175.00,-0.30,0.25,61.10,958.00,-201,"1,413"
,69.00,-25.00,32.00,58.55,49.85,1.65,1425.00,49.45,50.15,2850.00,360.00,62700.00,0.45,0.50,27075.00,-0.30,0.50,58.36,703.00,-120,"1,128"
,153.00,-12.00,49.00,38.52,39.50,-0.20,2850.00,39.85,40.45,4275.00,370.00,29925.00,0.70,0.80,21375.00,-0.45,0.75,52.36,911.00,-3,"1,274"
,588.00,-92.00,138.00,45.29,30.45,1.00,2850.00,30.40,31.00,2850.00,380.00,21375.00,1.30,1.35,17100.00,-0.45,1.35,48.24,1691.00,58,"1,917"
,930.00,-261.00,473.00,45.65,22.05,1.30,1425.00,21.55,21.90,1425.00,390.00,5700.00,2.35,2.40,2850.00,-0.60,2.40,43.83,2534.00,-69,"1,719"
,1629.00,-303.00,2169.00,40.23,13.85,0.40,2850.00,13.80,13.90,1425.00,400.00,8550.00,4.45,4.55,8550.00,-0.95,4.50,40.54,6595.00,264,"2,881"
,1955.00,-338.00,8017.00,38.65,7.80,0.05,15675.00,7.75,7.85,1425.00,410.00,4275.00,8.40,8.50,2850.00,-1.40,8.40,38.76,5168.00,425,"1,262"
,3216.00,576.00,9139.00,39.38,4.10,-0.05,9975.00,4.05,4.15,9975.00,420.00,1425.00,14.55,14.80,2850.00,-1.30,14.70,39.59,546.00,39,"1,236"
,3996.00,298.00,5075.00,41.85,2.20,-0.15,4275.00,2.20,2.25,24225.00,430.00,1425.00,22.60,23.00,1425.00,-1.35,22.55,40.46,103.00,-47,854
,3823.00,64.00,4250.00,44.59,1.20,-0.25,39900.00,1.20,1.25,102600.00,440.00,2850.00,31.50,32.00,1425.00,-1.00,32.30,49.95,95.00,-61,968
,4977.00,68.00,4439.00,47.82,0.70,-0.20,370500.00,0.65,0.70,240825.00,450.00,2850.00,40.95,41.40,2850.00,-1.15,41.45,51.13,76.00,-54,959
,1980.00,-35.00,1561.00,51.57,0.45,-0.15,322050.00,0.40,0.45,243675.00,460.00,2850.00,50.75,51.35,1425.00,-1.05,51.55,61.52,30.00,-18,363
,1065.00,-9.00,377.00,53.60,0.25,-0.10,242250.00,0.25,0.30,192375.00,470.00,2850.00,60.40,61.20,1425.00,-10.95,60.80,55.82,4.00,-1,206
,1111.00,-35.00,222.00,58.38,0.20,-0.05,363375.00,0.15,0.20,51300.00,480.00,7125.00,70.30,71.15,1425.00,-0.25,71.25,73.56,21.00,-19,204
,541.00,-141.00,71.00,59.06,0.10,-0.10,104025.00,0.10,0.15,91200.00,490.00,1425.00,79.40,81.15,1425.00,-,-,-,-,-,79
,2109.00,-212.00,279.00,68.16,0.15,-0.05,598500.00,0.10,0.15,399000.00,500.00,1425.00,89.95,90.90,1425.00,-1.00,90.50,62.25,29.00,-18,303
,322.00,-66.00,19.00,70.31,0.10,-0.05,324900.00,0.05,0.10,1425.00,510.00,42750.00,87.70,106.85,1425.00,-,-,-,-,-,7
,370.00,-29.00,18.00,75.68,0.10,-0.05,22800.00,0.05,0.10,1425.00,520.00,42750.00,96.60,115.25,2850.00,-,-,-,-,-,26
,285.00,-23.00,29.00,75.03,0.05,-0.05,17100.00,0.05,0.10,2850.00,530.00,42750.00,110.30,128.70,4275.00,11.90,120.40,68.88,2.00,-2,11
,166.00,-2.00,6.00,79.81,0.05,-,-,-,0.05,11400.00,540.00,42750.00,116.70,145.00,42750.00,11.00,132.00,131.11,1.00,-,4
,528.00,-53.00,40.00,84.48,0.05,-,-,-,0.05,4275.00,550.00,1425.00,140.00,140.85,4275.00,-3.70,140.50,95.56,16.00,-42,304
,105.00,1.00,2.00,89.03,0.05,-,-,-,0.15,5700.00,560.00,42750.00,134.70,167.85,42750.00,-,-,-,-,-,-
,22.00,-,-,-,-,-,-,-,0.15,1425.00,570.00,42750.00,143.80,177.60,42750.00,-,-,-,-,-,-
,15.00,-,-,-,-,-,-,-,0.05,4275.00,580.00,42750.00,152.70,189.75,42750.00,-,-,-,-,-,-
,28.00,-2.00,2.00,102.05,0.05,-0.10,2850.00,0.05,0.10,1425.00,590.00,42750.00,161.75,203.95,42750.00,-,-,-,-,-,-
,254.00,-12.00,28.00,106.20,0.05,-,-,-,0.05,11400.00,600.00,42750.00,170.90,200.30,1425.00,-,-,-,-,-,11
,167.00,-,-,-,-,-,-,-,0.05,7125.00,610.00,42750.00,179.95,221.40,42750.00,-,-,-,-,-,2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
